team,lat,lng,points
1,19.56,-99.219579,6380
1,19.55788,-99.216717,18806
1,19.340667,-99.19008,26422
1,19.305077,-99.241428,4000
2,19.675241,-99.221948,10377
1,19.342918,-99.190764,6048
1,19.317411,-99.164737,3644
2,19.325797,-99.158192,14078
2,19.31718,-99.159217,6000
2,19.544642,-99.210838,6485
1,19.541242,-99.217261,2500
2,19.539113,-99.21987,10353
2,19.541095,-99.216692,16653
1,19.312244,-99.163358,10816
3,19.307877,-99.264807,4500
3,19.68787,-99.21463,1500
2,19.48891,-99.11762,4000
1,19.271903,-99.131484,13874
1,19.269872,-99.128951,6000
2,19.276105,-99.128236,14698
2,19.278561,-99.132573,24947
1,19.284676,-99.129388,5060
2,19.483306,-99.108951,10160
2,19.482438,-99.106861,21648
1,19.287152,-99.134424,7338
1,19.283734,-99.125856,3008
1,19.286949,-99.125936,2000
2,19.317999,-99.176428,4534
3,19.324792,-99.179298,6000
1,19.324637,-99.174951,21975
1,19.315698,-99.183974,2000
3,19.534326,-99.240401,7239
1,19.286588,-99.136819,4000
1,19.488701,-98.882428,7265
2,19.37434,-99.096652,22749
2,19.384233,-99.187241,2000
2,19.345233,-99.170401,6276
1,19.484717,-98.882069,6000
3,19.353638,-99.172322,24456
2,19.360537,-99.169947,6398
2,19.364015,-99.17407,9192
1,19.515445,-99.101221,3798
2,19.398336,-99.121661,8217
3,19.398672,-99.113291,4000
2,19.390769,-99.11756,4000
2,19.3901,-99.121128,7741
1,19.34963,-99.197482,17184
1,19.402348,-99.122061,6000
2,19.409272,-99.122452,10760
1,19.40533,-99.115427,6000
1,19.328021,-99.155805,2000
1,19.322741,-99.150179,2000
1,19.325993,-99.153853,6141
1,19.387674,-99.111988,3211
2,19.481061,-99.103613,7420
1,19.488941,-99.02279,4000
1,19.597685,-99.044244,2000
1,19.589907,-99.039733,6000
2,19.595421,-99.044885,3500
3,19.331449,-99.060563,4173
1,19.340704,-99.075372,3292
1,19.336655,-99.064144,3024
2,19.345054,-99.199413,4000
3,19.348649,-99.061344,2000
1,19.485608,-99.115305,4000
1,19.486566,-99.122973,5121
2,19.337539,-99.059097,2000
1,19.356271,-99.198781,3117
2,19.285714,-99.234069,10056
1,19.666183,-99.175913,6219
1,19.662654,-99.171335,4000
2,19.600391,-99.0353,3000
3,19.347496,-99.0607,2000
3,19.398127,-99.110106,6191
1,19.273632,-99.136362,6379
2,19.368779,-98.940629,4000
1,19.315758,-99.148301,11733
1,19.526443,-99.214035,11209
2,19.532164,-99.220004,6172
2,19.531226,-99.212497,2000
3,19.515148,-99.088623,2000
1,19.317974,-99.187742,6000
1,19.32376,-99.185172,2000
1,19.590263,-99.040862,2000
1,19.330567,-99.079206,6000
2,19.530808,-99.211751,6211
1,19.529036,-99.20439,6000
2,19.540208,-99.211932,14276
2,19.538732,-99.203976,6000
1,19.527167,-99.211499,3287
1,19.304103,-99.159503,22397
1,19.307837,-99.16373,3785
2,19.322585,-99.238668,1777
1,19.311535,-99.160607,9334
2,19.396781,-99.104479,4000
2,19.2979,-99.244228,28333
3,19.304575,-99.238152,2000
2,19.304261,-99.238894,1863
1,19.391162,-99.189288,5747
2,19.297134,-99.160854,5000
1,19.296702,-99.156783,2800
1,19.291681,-99.165765,2000
2,19.646796,-99.167634,11531
2,19.653622,-99.157451,7505
2,19.649946,-99.159918,4000
1,19.534062,-99.227923,7862
1,19.34805,-99.208051,29335
1,19.647465,-99.169194,2000
2,19.653143,-99.171543,6000
1,19.536041,-99.196712,7116
1,19.333078,-99.069972,5736
1,19.329908,-99.2451,5391
1,19.485002,-99.124994,10641
